,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,chandur,0,IN,1584842807,17,82.33,19.73,79.18,1.34
1,barrow,90,US,1584842807,77,5.0,71.29,-156.79,16.11
2,harper,50,LR,1584842808,92,76.57,4.38,-7.72,2.13
3,castro,42,BR,1584842808,98,60.01,-24.79,-50.01,8.3
4,saint-augustin,100,CA,1584842808,77,8.89,51.23,-58.65,16.33
5,lompoc,1,US,1584842809,71,61.0,34.64,-120.46,11.41
6,matamoros,40,MX,1584842809,29,89.6,25.53,-103.25,12.75
7,ushuaia,40,AR,1584842809,80,41.0,-54.8,-68.3,13.87
8,naze,75,JP,1584842809,94,71.6,28.37,129.48,34.45
9,axim,0,GH,1584842592,90,78.01,4.87,-2.24,2.48
10,itarema,99,BR,1584842810,92,74.59,-2.92,-39.92,1.7
11,lagoa,0,PT,1584842810,65,54.43,39.05,-27.98,14.88
12,abu samrah,0,SY,1584842810,77,43.81,35.3,37.18,11.7
13,chengde,0,CN,1584842810,23,51.73,40.97,117.94,7.4
14,hermanus,14,ZA,1584842811,88,62.01,-34.42,19.23,4.0
15,arraial do cabo,100,BR,1584842811,70,76.57,-22.97,-42.03,12.41
16,port alfred,2,ZA,1584842811,94,64.0,-33.59,26.89,5.44
17,antalaha,6,MG,1584842811,79,80.17,-14.9,50.28,16.75
18,tuktoyaktuk,90,CA,1584842811,85,21.2,69.45,-133.04,4.7
19,yumen,98,CN,1584842812,25,53.35,40.28,97.2,13.58
20,butaritari,100,KI,1584842812,76,83.41,3.07,172.79,14.05
21,chalon-sur-saone,2,FR,1584842635,86,43.0,46.78,4.85,13.87
22,rikitea,22,PF,1584842812,75,78.91,-23.12,-134.97,6.82
23,albany,1,US,1584842619,37,34.0,42.6,-73.97,12.75
24,itaueira,88,BR,1584842812,97,70.63,-7.6,-43.03,2.68
25,strezhevoy,100,RU,1584842808,66,14.0,60.73,77.59,11.18
26,pevek,100,RU,1584842813,71,-0.11,69.7,170.31,11.16
27,cape town,0,ZA,1584842813,88,64.99,-33.93,18.42,11.41
28,puerto ayora,100,EC,1584842813,78,78.01,-0.74,-90.35,4.0
29,busselton,0,AU,1584842643,42,73.0,-33.65,115.33,14.9
30,moundou,73,TD,1584842617,59,77.65,8.57,16.08,4.12
31,sulangan,52,PH,1584842814,74,82.15,11.14,123.72,8.52
32,longyearbyen,90,SJ,1584842814,92,19.4,78.22,15.64,6.93
33,torbay,20,CA,1584842713,68,27.0,47.67,-52.73,38.03
34,kiama,0,AU,1584842814,34,80.01,-34.68,150.87,5.82
35,makinsk,97,KZ,1584842814,87,25.45,52.63,70.42,19.66
36,bambous virieux,20,MU,1584842815,88,73.99,-20.34,57.76,1.12
37,mataura,48,NZ,1584842815,65,57.99,-46.19,168.86,15.99
38,mahebourg,20,MU,1584842815,88,73.99,-20.41,57.7,1.12
39,anadyr,100,RU,1584842815,48,19.4,64.75,177.48,2.24
40,kruisfontein,0,ZA,1584842815,91,58.39,-34.0,24.73,3.11
41,chokurdakh,21,RU,1584842815,83,2.59,70.63,147.92,3.27
42,hobart,40,AU,1584842816,76,57.0,-42.88,147.33,16.11
43,cabo san lucas,20,MX,1584842612,68,71.6,22.89,-109.91,8.05
44,qasigiannguit,33,GL,1584842816,71,5.0,68.82,-51.19,9.17
45,coihaique,100,CL,1584842787,87,55.4,-45.58,-72.07,10.29
46,upernavik,100,GL,1584842816,99,-6.05,72.79,-56.15,7.09
47,punta arenas,40,CL,1584842817,75,44.01,-53.15,-70.92,9.17
48,lugovoy,95,KZ,1584842817,72,47.95,42.95,72.76,2.93
49,saint-philippe,61,RE,1584842817,68,75.2,-21.36,55.77,6.93
50,dabakala,100,CI,1584842817,73,74.23,8.37,-4.43,3.29
51,sola,100,VU,1584842817,78,83.77,-13.88,167.55,18.37
52,chiredzi,11,ZW,1584842817,98,64.33,-21.05,31.67,4.25
53,caucaia,20,BR,1584842817,83,80.6,-3.74,-38.65,4.7
54,ribeira grande,40,PT,1584842818,66,51.8,38.52,-28.7,6.93
55,geraldton,0,AU,1584842818,38,87.8,-28.77,114.6,24.16
56,xiongyue,0,CN,1584842818,28,49.39,40.18,122.12,7.18
57,qaanaaq,100,GL,1584842818,71,-9.11,77.48,-69.36,0.81
58,algiers,75,DZ,1584842818,87,55.4,36.75,3.04,4.7
59,tautira,75,PF,1584842818,66,86.0,-17.73,-149.15,12.75
60,kapaa,90,US,1584842819,78,78.8,22.08,-159.32,5.82
61,thompson,75,CA,1584842819,41,23.0,55.74,-97.86,10.29
62,okhotsk,100,RU,1584842819,70,22.93,59.38,143.3,8.9
63,new norfolk,40,AU,1584842819,76,57.0,-42.78,147.06,16.11
64,saint-joseph,47,RE,1584842819,68,75.2,-21.37,55.62,6.93
65,kahului,40,US,1584842568,58,82.4,20.89,-156.47,19.46
66,dikson,83,RU,1584842820,98,-16.13,73.51,80.55,8.86
67,daru,100,PG,1584842820,78,84.13,-9.08,143.21,5.41
68,georgetown,20,MY,1584842798,74,84.2,5.41,100.34,5.82
69,cidreira,0,BR,1584842820,72,73.51,-30.18,-50.21,16.35
70,avarua,100,CK,1584842525,70,84.2,-21.21,-159.78,5.82
71,alofi,71,NU,1584842821,94,77.0,-19.06,-169.92,5.82
72,nikolskoye,0,RU,1584842821,58,28.4,59.7,30.79,4.47
73,kichera,93,RU,1584842821,92,22.39,55.94,110.1,4.34
